date,risk_profile,itemcode,weights,tracking_code,itemname,price,volume,trading_amt_mln,asset_class
5/7/2021 12:00:00 AM,2,A114260,0.239999999999585,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/7/2021 12:00:00 AM,2,A122260,0.239999999999052,BOK_D1,KOSEF 통안채1년,101330,658165,37510.5923142783,Fixed Income
5/7/2021 12:00:00 AM,2,A130730,0.239999999994855,MM,KOSEF 단기자금,101100,176641,68231.6365238339,Fixed Income
5/7/2021 12:00:00 AM,2,A196230,0.0839293051759444,BOK_D.4,KBSTAR 단기통안채,104445,936288,53069.439175945,Fixed Income
5/7/2021 12:00:00 AM,2,A273130,0.0760706948193532,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,108590,22802,1945.10005688944,Fixed Income
5/7/2021 12:00:00 AM,2,A069500,0.0603181096684787,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/7/2021 12:00:00 AM,2,A251350,0.0396818903312532,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
5/7/2021 12:00:00 AM,2,A237370,0.0199999999999139,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/7/2021 12:00:00 AM,3,A114260,0.239999999999858,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/7/2021 12:00:00 AM,3,A148070,0.239999999999434,KTB_D8,KOSEF 국고채10년,119775,2586,1725.68263838943,Fixed Income
5/7/2021 12:00:00 AM,3,A069500,0.187284128528058,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/7/2021 12:00:00 AM,3,A251350,0.128715871471781,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
5/7/2021 12:00:00 AM,3,A273130,0.100000000000205,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,108590,22802,1945.10005688944,Fixed Income
5/7/2021 12:00:00 AM,3,A157490,0.0840000000001587,SW,TIGER 소프트웨어,16780,63908,2642.49738734499,Equity
5/7/2021 12:00:00 AM,3,A237370,0.0199999999999668,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/7/2021 12:00:00 AM,4,A278540,0.239999999998432,MSCI_KR,KODEX MSCI Korea TR,13860,321160,12075.8849646117,Equity
5/7/2021 12:00:00 AM,4,A237370,0.23999999999835,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/7/2021 12:00:00 AM,4,A157490,0.23999999999774,SW,TIGER 소프트웨어,16780,63908,2642.49738734499,Equity
5/7/2021 12:00:00 AM,4,A266370,0.135999999975619,IT,KODEX IT,20685,17747,1065.69601861166,Equity
5/7/2021 12:00:00 AM,4,A069500,0.0840000000020602,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/7/2021 12:00:00 AM,4,A114260,0.0599999999810772,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/8/2021 12:00:00 AM,2,A114260,0.239999999997993,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/8/2021 12:00:00 AM,2,A122260,0.239999999995496,BOK_D1,KOSEF 통안채1년,101330,658165,37510.5923142783,Fixed Income
5/8/2021 12:00:00 AM,2,A130730,0.239999999975721,MM,KOSEF 단기자금,101100,176641,68231.6365238339,Fixed Income
5/8/2021 12:00:00 AM,2,A196230,0.0839293052629777,BOK_D.4,KBSTAR 단기통안채,104445,936288,53069.439175945,Fixed Income
5/8/2021 12:00:00 AM,2,A273130,0.0760706947114608,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,108590,22802,1945.10005688944,Fixed Income
5/8/2021 12:00:00 AM,2,A069500,0.0603181097110017,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/8/2021 12:00:00 AM,2,A251350,0.0396818902876655,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
5/8/2021 12:00:00 AM,2,A237370,0.0199999999995713,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/8/2021 12:00:00 AM,3,A114260,0.23999999999933,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/8/2021 12:00:00 AM,3,A148070,0.239999999995405,KTB_D8,KOSEF 국고채10년,119775,2586,1725.68263838943,Fixed Income
5/8/2021 12:00:00 AM,3,A069500,0.187284128472567,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/8/2021 12:00:00 AM,3,A251350,0.12871587152667,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
5/8/2021 12:00:00 AM,3,A273130,0.100000000002558,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,108590,22802,1945.10005688944,Fixed Income
5/8/2021 12:00:00 AM,3,A157490,0.0840000000007553,SW,TIGER 소프트웨어,16780,63908,2642.49738734499,Equity
5/8/2021 12:00:00 AM,3,A237370,0.0199999999998346,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/8/2021 12:00:00 AM,4,A237370,0.239999999999675,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/8/2021 12:00:00 AM,4,A278540,0.239999999999518,MSCI_KR,KODEX MSCI Korea TR,13860,321160,12075.8849646117,Equity
5/8/2021 12:00:00 AM,4,A157490,0.239999999999458,SW,TIGER 소프트웨어,16780,63908,2642.49738734499,Equity
5/8/2021 12:00:00 AM,4,A266370,0.135999999996929,IT,KODEX IT,20685,17747,1065.69601861166,Equity
5/8/2021 12:00:00 AM,4,A069500,0.0840000000005746,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/8/2021 12:00:00 AM,4,A114260,0.0599999999923944,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/9/2021 12:00:00 AM,2,A114260,0.239999999999861,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/9/2021 12:00:00 AM,2,A122260,0.239999999999689,BOK_D1,KOSEF 통안채1년,101330,658165,37510.5923142783,Fixed Income
5/9/2021 12:00:00 AM,2,A130730,0.239999999998352,MM,KOSEF 단기자금,101100,176641,68231.6365238339,Fixed Income
5/9/2021 12:00:00 AM,2,A196230,0.0839293051627313,BOK_D.4,KBSTAR 단기통안채,104445,936288,53069.439175945,Fixed Income
5/9/2021 12:00:00 AM,2,A273130,0.0760706948354071,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,108590,22802,1945.10005688944,Fixed Income
5/9/2021 12:00:00 AM,2,A069500,0.0603181096614354,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/9/2021 12:00:00 AM,2,A251350,0.0396818903384705,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
5/9/2021 12:00:00 AM,2,A237370,0.0199999999999697,BAL_KO3KTB7,KODEX 배당성장채권혼합,12185,5015,123.665057167217,Alternative
5/9/2021 12:00:00 AM,3,A114260,0.239999999993307,KTB_D3,KODEX 국고채3년,58055,11739,935.482379389444,Fixed Income
5/9/2021 12:00:00 AM,3,A148070,0.239999999919242,KTB_D8,KOSEF 국고채10년,119775,2586,1725.68263838943,Fixed Income
5/9/2021 12:00:00 AM,3,A069500,0.187284127338193,K200,KODEX 200,42905,4762435,363923.704169789,Equity
5/9/2021 12:00:00 AM,3,A251350,0.128715872654225,MSCI_WO,KODEX 선진국MSCI World,18665,332827,2848.56577938947,Equity
