,date,risk_profile,itemcode,weights,tracking_code,itemname,price,volume,trading_amt_mln,asset_class
0,2019-01-02,2,A273130,0.23999999999190355,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,104320.0,26468.0,858.1044957225466,Fixed Income
1,2019-01-02,2,A214980,0.23999999982869658,MM_PLUS,KODEX 단기채권PLUS,100050.0,10160.0,508.8748655559288,Fixed Income
2,2019-01-02,2,A196230,0.20771571992735685,BOK_D.4,KBSTAR 단기통안채,101423.0,393085.0,16568.43089496715,Fixed Income
3,2019-01-02,2,A114260,0.10000000072728032,KTB_D3,KODEX 국고채3년,55690.0,5449.0,251.12748610032656,Fixed Income
4,2019-01-02,2,A122260,0.09228427661044755,BOK_D1,KOSEF 통안채1년,97761.0,42453.0,13238.397304100403,Fixed Income
5,2019-01-02,2,A069500,0.07548620543781082,K200,KODEX 200,25140.0,4795980.0,180936.73944899993,Equity
6,2019-01-02,2,A278540,0.024513794527556074,MSCI_KR,KODEX MSCI Korea TR,7870.0,501609.0,28050.510755222793,Equity
7,2019-01-02,2,A237370,0.01999999999959902,BAL_KO3KTB7,KODEX 배당성장채권혼합,10302.0,7206.0,42.96030203365409,Alternative
8,2019-01-02,3,A273130,0.2399999999994987,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,104320.0,26468.0,858.1044957225466,Fixed Income
9,2019-01-02,3,A148070,0.23999999999927418,KTB_D8,KOSEF 국고채10년,116388.0,3054.0,232.5197844447643,Fixed Income
10,2019-01-02,3,A069500,0.23999999999792307,K200,KODEX 200,25140.0,4795980.0,180936.73944899993,Equity
11,2019-01-02,3,A114260,0.09999999999490447,KTB_D3,KODEX 국고채3년,55690.0,5449.0,251.12748610032656,Fixed Income
12,2019-01-02,3,A278540,0.07600000000043429,MSCI_KR,KODEX MSCI Korea TR,7870.0,501609.0,28050.510755222793,Equity
13,2019-01-02,3,A091170,0.05807039877123588,BANK_KRX,KODEX 은행,6810.0,32112.0,667.5781190337115,Equity
14,2019-01-02,3,A283580,0.025929601224917286,CSI300,KODEX 중국본토CSI300,7430.0,66145.0,418.1241251114908,Equity
15,2019-01-02,3,A237370,0.020000000000107505,BAL_KO3KTB7,KODEX 배당성장채권혼합,10302.0,7206.0,42.96030203365409,Alternative
16,2019-01-02,4,A237370,0.2399999999985496,BAL_KO3KTB7,KODEX 배당성장채권혼합,10302.0,7206.0,42.96030203365409,Alternative
17,2019-01-02,4,A069500,0.2399999999985106,K200,KODEX 200,25140.0,4795980.0,180936.73944899993,Equity
18,2019-01-02,4,A245340,0.23999999999475047,DOW30,TIGER 미국다우존스30,12605.0,40590.0,127.30562058920974,Equity
19,2019-01-02,4,A148070,0.15999999998734346,KTB_D8,KOSEF 국고채10년,116388.0,3054.0,232.5197844447643,Fixed Income
20,2019-01-02,4,A091170,0.09600000000077172,BANK_KRX,KODEX 은행,6810.0,32112.0,667.5781190337115,Equity
21,2019-01-02,4,A278540,0.023999999978378865,MSCI_KR,KODEX MSCI Korea TR,7870.0,501609.0,28050.510755222793,Equity
22,2019-01-03,2,A273130,0.23999999999789146,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,104380.0,21866.0,880.4902516114356,Fixed Income
23,2019-01-03,2,A214980,0.2399999999498192,MM_PLUS,KODEX 단기채권PLUS,100060.0,14977.0,523.4963825003732,Fixed Income
24,2019-01-03,2,A196230,0.2077157213301801,BOK_D.4,KBSTAR 단기통안채,101437.0,367401.0,16982.39828005604,Fixed Income
25,2019-01-03,2,A114260,0.10000000022159439,KTB_D3,KODEX 국고채3년,55715.0,1973.0,250.67153437810435,Fixed Income
26,2019-01-03,2,A122260,0.09228427792845623,BOK_D1,KOSEF 통안채1년,97810.0,219744.0,13477.197255567067,Fixed Income
27,2019-01-03,2,A069500,0.07548620540517476,K200,KODEX 200,24896.0,5649255.0,180914.36304457768,Equity
28,2019-01-03,2,A278540,0.024513794580246905,MSCI_KR,KODEX MSCI Korea TR,7780.0,37888561.0,31171.279222167235,Equity
29,2019-01-03,2,A237370,0.019999999999890078,BAL_KO3KTB7,KODEX 배당성장채권혼합,10287.0,2493.0,42.06380290032076,Alternative
30,2019-01-03,3,A273130,0.23999999999018334,ACT_BOND_D4,KODEX 종합채권(AA-이상)액티브,104380.0,21866.0,880.4902516114356,Fixed Income
31,2019-01-03,3,A148070,0.2399999999858864,KTB_D8,KOSEF 국고채10년,116426.0,6866.0,240.7807258003198,Fixed Income
32,2019-01-03,3,A069500,0.23999999996441132,K200,KODEX 200,24896.0,5649255.0,180914.36304457768,Equity
33,2019-01-03,3,A114260,0.0999999999007086,KTB_D3,KODEX 국고채3년,55715.0,1973.0,250.67153437810435,Fixed Income
34,2019-01-03,3,A278540,0.07600000002752597,MSCI_KR,KODEX MSCI Korea TR,7780.0,37888561.0,31171.279222167235,Equity
35,2019-01-03,3,A091170,0.05807039833056938,BANK_KRX,KODEX 은행,6792.0,39589.0,667.6856305670448,Equity
36,2019-01-03,3,A283580,0.025929601639323833,CSI300,KODEX 중국본토CSI300,7430.0,17387.0,415.57561744482416,Equity
37,2019-01-03,3,A237370,0.020000000001885895,BAL_KO3KTB7,KODEX 배당성장채권혼합,10287.0,2493.0,42.06380290032076,Alternative
38,2019-01-03,4,A237370,0.2399999999984818,BAL_KO3KTB7,KODEX 배당성장채권혼합,10287.0,2493.0,42.06380290032076,Alternative
39,2019-01-03,4,A069500,0.23999999999756855,K200,KODEX 200,24896.0,5649255.0,180914.36304457768,Equity
40,2019-01-03,4,A245340,0.23999999999485228,DOW30,TIGER 미국다우존스30,12644.0,5246.0,127.44107030032085,Equity
41,2019-01-03,4,A148070,0.1599999999816031,KTB_D8,KOSEF 국고채10년,116426.0,6866.0,240.7807258003198,Fixed Income
42,2019-01-03,4,A091170,0.09599999999893025,BANK_KRX,KODEX 은행,6792.0,39589.0,667.6856305670448,Equity
